created_at,entry_id,field3
2024-03-25 02:41:15 UTC,1,
2024-03-25 02:41:35 UTC,2,
2024-03-25 02:41:56 UTC,3,
2024-03-25 02:42:16 UTC,4,
2024-03-25 02:42:37 UTC,5,
2024-03-25 02:42:58 UTC,6,
2024-03-25 02:43:18 UTC,7,
2024-03-25 02:59:20 UTC,8,
2024-03-25 02:59:35 UTC,9,
2024-03-25 03:03:34 UTC,10,
2024-03-25 03:03:55 UTC,11,
2024-03-25 03:04:14 UTC,12,
2024-03-25 03:04:50 UTC,13,
2024-03-25 03:05:19 UTC,14,
2024-03-25 03:05:40 UTC,15,
2024-03-25 03:06:21 UTC,16,
2024-03-25 03:06:46 UTC,17,
2024-03-25 03:07:13 UTC,18,
2024-03-25 03:07:34 UTC,19,
2024-03-25 03:07:54 UTC,20,
2024-03-25 03:08:18 UTC,21,
2024-03-25 03:08:39 UTC,22,
2024-03-25 03:09:00 UTC,23,
2024-03-25 03:09:20 UTC,24,
2024-03-25 03:09:42 UTC,25,
2024-03-25 03:10:07 UTC,26,
2024-03-25 03:10:31 UTC,27,
2024-03-25 03:11:06 UTC,28,
2024-03-25 03:11:26 UTC,29,
2024-03-25 04:23:20 UTC,30,60.80000
2024-03-25 04:23:44 UTC,31,60.80000
2024-03-25 04:24:07 UTC,32,60.80000
2024-03-25 04:24:32 UTC,33,60.80000
